step,temperature,twl
195,323.397911922865,13250
196,307.22801632672173,12510
197,291.86661551038566,12835
198,277.27328473486637,13272
199,263.40962049812305,13068
200,250.23913947321688,12814
201,237.72718249955602,13273
202,225.8408233745782,12552
203,214.54878220584928,12818
204,203.8213430955568,12606
205,193.63027594077897,12406
206,183.94876214374003,13061
207,174.75132403655303,13158
208,166.01375783472537,12927
209,157.71306994298908,11847
210,149.82741644583962,13131
211,142.33604562354762,12971
212,135.21924334237022,12367
213,128.4582811752517,12806
214,122.03536711648911,12596
215,115.93359876066465,12778
216,110.13691882263142,12828
217,104.63007288149984,12441
218,99.39856923742485,12302
219,94.4286407755536,12547
220,89.70720873677593,12288
221,85.22184829993712,12513
222,80.96075588494026,12183
223,76.91271809069323,12511
224,73.06708218615857,12076
225,69.41372807685065,11886
226,65.94304167300811,12112
227,62.6458895893577,12261
228,59.51359510988981,11779
229,56.53791535439532,12058
230,53.71101958667555,11493
231,51.025468607341764,11405
232,48.474195176974675,11577
233,46.05048541812594,11399
234,43.74796114721964,11472
235,41.560563089858654,11550
236,39.48253493536572,11458
237,37.508408188597436,10546
238,35.632987779167564,10760
239,33.851338390209186,11010
240,32.158771470698724,10689
241,30.550832897163787,10760
242,29.023291252305597,10919
243,27.572126689690315,10382
