step,temperature,twl
184,272.2087344789985,6500
185,258.5982977550486,6563
186,245.66838286729615,6280
187,233.38496372393132,6434
188,221.71571553773475,6464
189,210.629929760848,6293
190,200.09843327280558,6351
191,190.0935116091653,6700
192,180.58883602870702,6105
193,171.55939422727167,6515
194,162.9814245159081,6049
195,154.83235329011268,6459
196,147.09073562560704,6096
197,139.73619884432668,6398
198,132.74938890211033,6179
199,126.1119194570048,6654
200,119.80632348415456,6166
201,113.81600730994683,6322
202,108.12520694444947,6248
203,102.71894659722699,6166
204,97.58299926736564,6102
205,92.70384930399734,6117
206,88.06865683879748,5819
207,83.6652239968576,6070
208,79.48196279701472,6217
209,75.50786465716398,5889
210,71.73247142430577,5800
211,68.14584785309047,5789
212,64.73855546043595,5488
213,61.50162768741415,5504
214,58.42654630304344,5767
215,55.50521898789126,5766
216,52.7299580384967,5669
217,50.09346013657186,5841
218,47.58878712974327,5598
219,45.2093477732561,5520
220,42.948880384593295,5604
221,40.80143636536363,5424
222,38.76136454709545,5465
223,36.82329631974067,5304
224,34.982131503753635,5389
225,33.23302492856595,5152
226,31.571373682137654,5227
227,29.99280499803077,5507
228,28.49316474812923,5394
229,27.06850651072277,5003
230,25.71508118518663,5101
231,24.429327125927298,5217
232,23.207860769630933,4830
233,22.047467731149386,4657
234,20.945094344591915,4648
235,19.89783962736232,4599
236,18.902947645994203,4869
237,17.95780026369449,4680
238,17.059910250509766,4757
239,16.206914737984278,4690
240,15.396569001085062,4527
241,14.626740551030808,4480
242,13.895403523479267,4446
243,13.200633347305303,4387
